iso3,country,disaggregation,disagg.value,region,subregion,section,under_5_stunting_track,anaemia_track,lbw_track,under_5_overweight_track,ebf_track,under_5_wasting_track,sodium_track,rbp_female_track,rbp_male_track,adult_fem_obesity_track,adult_mal_obesity_track,adult_fem_diabetes_track,adult_mal_diabetes_track
AFG,Afghanistan,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,On course,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ALB,Albania,all,,Europe,Southern Europe,The burden of malnutrition at a glance,On course,No progress or worsening,On course,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
DZA,Algeria,all,,Africa,Northern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
AND,Andorra,all,,Europe,Southern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,No data,On course,On course,Off course,Off course,On course,Off course
AGO,Angola,all,,Africa,Middle Africa,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,Some progress,Off course,No data,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ATG,Antigua and Barbuda,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ARG,Argentina,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,No progress or worsening,Some progress,No progress or worsening,On course,No data,On course,Off course,On course,Off course,Off course,Off course,Off course,Off course
ARM,Armenia,all,,Asia,Western Asia,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
AUS,Australia,all,,Oceania,Australia and New Zealand,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,Off course,No data,No data,Off course,On course,On course,Off course,Off course,On course,On course
AUT,Austria,all,,Europe,Western Europe,The burden of malnutrition at a glance,No data,No progress or worsening,Some progress,No data,No data,No data,Off course,On course,On course,Off course,Off course,On course,Off course
AZE,Azerbaijan,all,,Asia,Western Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,No data,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BHS,Bahamas,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
BHR,Bahrain,all,,Asia,Western Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,Off course,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
BGD,Bangladesh,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,Off course,Some progress,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BRB,Barbados,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BLR,Belarus,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,No progress or worsening,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
BEL,Belgium,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,Off course,No data,No data,Off course,On course,Off course,Off course,Off course,On course,Off course
BLZ,Belize,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BEN,Benin,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,Off course,Some progress,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BTN,Bhutan,all,,Asia,Southern Asia,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,On course,Some progress,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BOL,Bolivia (Plurinational State of),all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,On course,Some progress,No progress or worsening,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BIH,Bosnia and Herzegovina,all,,Europe,Southern Europe,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,On Course,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BWA,Botswana,all,,Africa,Southern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BRA,Brazil,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,No progress or worsening,Some progress,No progress or worsening,On course,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
BRN,Brunei Darussalam,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,On course,No progress or worsening,On Course,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,On course,Off course
BGR,Bulgaria,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BFA,Burkina Faso,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,Off course,On course,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BDI,Burundi,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,Some progress,Off course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
CIV,CÃ´te dâ€™Ivoire,all,,Africa,Western Africa,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,Off course,On course,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
CPV,Cabo Verde,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,Some progress,No data,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
KHM,Cambodia,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,On course,No progress or worsening,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
CMR,Cameroon,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,Off course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
CAN,Canada,all,,North America,Northern America,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,On course,No data,No data,Off course,On course,On course,Off course,Off course,Off course,Off course
CAF,Central African Republic,all,,Africa,Middle Africa,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,Some progress,On course,Some progress,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
TCD,Chad,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Some progress,Some progress,No data,Off course,Some progress,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
CHL,Chile,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,No data,On course,Off course,On course,Off course,Off course,Off course,Off course,Off course
CHN,China,all,,Asia,Eastern Asia,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,Off course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
COL,Colombia,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Some progress,Some progress,No progress or worsening,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
COM,Comoros,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
COG,Congo,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Some progress,Some progress,Some progress,On course,On course,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
CRI,Costa Rica,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No progress or worsening,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
HRV,Croatia,all,,Europe,Southern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
CUB,Cuba,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No progress or worsening,Some progress,No progress or worsening,On course,No progress or worsening,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
CYP,Cyprus,all,,Asia,Western Asia,The burden of malnutrition at a glance,No data,No progress or worsening,No data,No data,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
CZE,Czechia,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
PRK,Democratic People's Republic of Korea,all,,Asia,Eastern Asia,The burden of malnutrition at a glance,On course,No progress or worsening,No data,Off course,On course,On course,No data,Off course,Off course,Off course,Off course,Off course,Off course
COD,Democratic Republic of the Congo,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Some progress,Some progress,Some progress,On course,On course,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
DNK,Denmark,all,,Europe,Northern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,On course,On course,Off course,Off course,On course,On course
DJI,Djibouti,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No data,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
DMA,Dominica,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No data,No progress or worsening,No data,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
DOM,Dominican Republic,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,On course,Some progress,No progress or worsening,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ECU,Ecuador,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No progress or worsening,Off course,No data,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
EGY,Egypt,all,,Africa,Northern Africa,The burden of malnutrition at a glance,No progress or worsening,Some progress,No data,Off course,No progress or worsening,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SLV,El Salvador,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
GNQ,Equatorial Guinea,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Some progress,Some progress,No data,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ERI,Eritrea,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No data,Off course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
EST,Estonia,all,,Europe,Northern Europe,The burden of malnutrition at a glance,On course,No progress or worsening,On Course,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
SWZ,Eswatini,all,,Africa,Southern Africa,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,On course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ETH,Ethiopia,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,Some progress,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
FJI,Fiji,all,,Oceania,Melanesia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
FIN,Finland,all,,Europe,Northern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,On Course,No data,No data,No data,Off course,On course,On course,Off course,Off course,On course,On course
FRA,France,all,,Europe,Western Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,On course,On course,Off course,Off course,Off course,Off course
GAB,Gabon,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Some progress,Some progress,No progress or worsening,Off course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
GMB,Gambia,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,Some progress,Some progress,Off course,On course,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
GEO,Georgia,all,,Asia,Western Asia,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
DEU,Germany,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,On course,No data,No data,Off course,On course,On course,Off course,Off course,On course,Off course
GHA,Ghana,all,,Africa,Western Africa,The burden of malnutrition at a glance,On course,Some progress,Some progress,Off course,No progress or worsening,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
GRC,Greece,all,,Europe,Southern Europe,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
GRD,Grenada,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No data,No progress or worsening,No data,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
GTM,Guatemala,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Some progress,On course,Some progress,On course,Some progress,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
GIN,Guinea,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,Some progress,No data,Off course,On course,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
GNB,Guinea-Bissau,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,Some progress,Some progress,Off course,On course,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
GUY,Guyana,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,On course,Some progress,No progress or worsening,On course,No progress or worsening,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
HTI,Haiti,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
HND,Honduras,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,Off course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
HUN,Hungary,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ISL,Iceland,all,,Europe,Northern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,On Course,No data,No data,No data,Off course,On course,Off course,Off course,Off course,On course,On course
IND,India,all,,Asia,Southern Asia,The burden of malnutrition at a glance,On course,No progress or worsening,No data,On course,On course,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
IDN,Indonesia,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,Off course,On course,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
IRN,Iran (Islamic Republic of),all,,Asia,Southern Asia,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No data,On course,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
IRQ,Iraq,all,,Asia,Western Asia,The burden of malnutrition at a glance,On course,Some progress,No data,On course,Some progress,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
IRL,Ireland,all,,Europe,Northern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,On course,On course,Off course,Off course,Off course,Off course
ISR,Israel,all,,Asia,Western Asia,The burden of malnutrition at a glance,No data,No progress or worsening,Some progress,No data,No data,No data,Off course,On course,On course,Off course,Off course,Off course,Off course
ITA,Italy,all,,Europe,Southern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,On course,On course,Off course,Off course,On course,Off course
JAM,Jamaica,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No progress or worsening,On course,No data,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
JPN,Japan,all,,Asia,Eastern Asia,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,Off course,No data,No data,Off course,On course,Off course,Off course,Off course,On course,Off course
JOR,Jordan,all,,Asia,Western Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,Off course,No progress or worsening,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
KAZ,Kazakhstan,all,,Asia,Central Asia,The burden of malnutrition at a glance,On course,No progress or worsening,On Course,On course,Some progress,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
KEN,Kenya,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,On course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
KIR,Kiribati,all,,Oceania,Micronesia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,No progress or worsening,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
KWT,Kuwait,all,,Asia,Western Asia,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,No progress or worsening,On course,No data,On course,Off course,On course,Off course,Off course,Off course,Off course,Off course
KGZ,Kyrgyzstan,all,,Asia,Central Asia,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
LAO,Lao People's Democratic Republic,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,Off course,Some progress,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
LVA,Latvia,all,,Europe,Northern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,On Course,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
LBN,Lebanon,all,,Asia,Western Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
LSO,Lesotho,all,,Africa,Southern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,Some progress,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
